Nr,Title,Paper Link,Link count,In-paper Links,Referenced object,Data source name,Place in Paper,Status,Dataset,Project,Type,Reproduction package
,,,,https://github.com/TeHikuMedia/nga-tautohetohe-reo,Github link,,Footer note page,working,,,code,
,,,,https://github.com/TeHikuMedia/nga-kupu/,,,Footer note page,working,,,code,
,,,,https://maoridictionary.co.nz/,word meaning dictionary,,Footer note page,working,,,organization,
,,,,https://aclanthology.org/2020.coling-main.313,Aclanthology website,,Footer note page,working,,,organization,
,,,,https://wharekōrero.nz/kaitiakitanga/,Website,,References,working,,,organization,
,,,,https://www.temanararaunga.maori.nz/,Website,,References,working,,,organization,
,,,,https://www.stats.govt.nz/information-releases/2018-census-totals-by-topic-national-highlights-updated,News link,,References,working,,,organization,
,,,,http://www.nzdl.org/cgi-bin/library.cgi?a=p&p=about&c=niupepa,NZDL link,,References,working,,,blog,
,,,,http://nzetc.victoria.ac.nz/tm/scholarly/tei-legalMaoriCorpus.html,News link,,References,working,,,blog,
,,,,https://tehiku.nz/te-hiku-tech/papa-reo/,University link,,References,working,,,organization,
,,,,https://github.com/TeHikuMedia/nga-tautohetohe-reo,Github related work link,,References,working,,,code,
19,Metamorphic Testing for Web System Security,https://arxiv.org/pdf/2208.09505.pdf,6,https://sntsvv.github.io/SMRL/,Github link,GitHub,Introduction,working,Y,Y,code,Y
,,,,https://www.owasp.org/images/1/19/OTGv4.pdf,OWASP link,,Method,working,,,organization,
,,,,https://newsroom.fb.com/news/2018/09/security-update/,News link,,References,working,,,blog,
,,,,https://portswigger.net/daily-swig/facebook-account-takeover-researcher-scoops-40k-bug-bounty-for-chained-exploit,The daily swig link,,References,working,,,blog,
,,,,https://portswigger.net/daily-swig/teen-hacker-scoops-4-500-bug-bounty-for-facebook-flaw-that-allowed-attackers-to-unmask-page-admins,The daily swig link,,References,working,,,blog,
,,,,http://heartbleed.com/,Website,,References,working,,,organization,
20,Adversarial Learning Based Structural Brain-network Generative Model for Analyzing Mild Cognitive Impairment,https://arxiv.org/pdf/2208.08896.pdf,1,http://arxiv.org/abs/2110.05712,Arxiv paper link,,References,working,,,pape,
